Rank,Track,Album Name,Artist,Release Date,Release Year,ISRC,Release Country,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Lyrics
95,Don't Let Me Down,Pop Party,The Chainsmokers,01.01.2016,2016,USQX91600011,US,432,"74,1",1888829482,206507,80884955,76.0,2813990127.0,18577555.0,1564955.0,439675389.0,6097870496.0,366325473.0,4.0,126648.0,72.0,101.0,784557.0,55.0,768352230.0,344561.0,,,0,head call ooh nobody said hope oh losin' really miracle hurry time hit there's stranded darlin' r think runnin' mind crashin' reachin' name around need ya thought side let say yeah wall right
96,Moonlight,?,XXXTENTACION,16.03.2018,2018,USUG11800209,US,375,"79,5",1885431727,241112,41330643,77.0,1607650475.0,24201486.0,275009.0,36219008.0,300772720.0,160456727.0,66.0,16859.0,2.0,41.0,344324.0,15.0,138948996.0,311466.0,80552486.0,3644968.0,1,testin' wesson like call brethren oh lesson here's intestine shots smith look scantron mind feel spotlight fuck get knife right uh nigga know need destined & mood pussy bad niggas shawty planned girl make takin' fucking alone boy good phone moonlight trippin' yeah damaged
97,I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,01.01.2014,2014,GBUM71308836,GB,2428,"28,9",1879966374,164059,76679523,77.0,464847219.0,2891357.0,65764.0,52262804.0,417275446.0,999433.0,124.0,1427.0,125.0,213.0,508144.0,26.0,576011327.0,191798.0,,15809409.0,0,call maybe even doubts realise one heart kept lord tear let knows deepest baby way done believe years unobtainable would better months 'cause fear hurts lyin' every i've denyin' vow still mine worse sadly know need enough crazy tearin' many made think proof's us wish can't end say though unavailable loved
98,Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,21.07.1987,1987,USGF18714809,US,3931,"21,5",1879386440,295491,96032046,80.0,2007460784.0,11222080.0,623935.0,57957597.0,673282408.0,743526260.0,212.0,145671.0,416.0,215.0,3290536.0,107.0,885046947.0,444606.0,,10345515.0,1,memories skies probably pass quietly love hide thunder everything eyes warm rain yeah woah sweet ounce stared h special wow safe place smile mm long o' see pain cry hair child mine got bright i'd face break hate fresh pray huh bluest takes ooh reminds seems oh sky blue look away childhood go aye thought
99,"thank u, next","thank u, next",Ariana Grande,03.11.2018,2018,USUM71819361,US,515,68,1878196824,134913,54753824,73.0,1479999649.0,20977857.0,1542901.0,119391916.0,982464070.0,919652612.0,238.0,190014.0,400.0,371.0,885834.0,87.0,263689593.0,359639.0,,26082.0,1,plus discussions lost hands even ain't one love smash thanking song laugh holding gon' ex havin' move spend patience good yeah sean listen almost thankful learned said wanna least day i'll angel yee next better loved name fuckin' 'cause thank fast drama see bad something worried i've pain real last got grew else wrote i'd searching songs turned know amazing need happens shit married malcolm could god ari mama dad nothin' shit's taught grateful walk time ricky friends look met 'bout wish match pete someone aisle end much thought that's say make found forbid handles
100,I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,01.01.2008,2008,USEE10800667,US,2136,"31,1",1878098512,241725,103480270,72.0,359866287.0,1614148.0,117533.0,21898820.0,175364993.0,1243907.0,230.0,1643.0,257.0,404.0,1238731.0,84.0,1463624043.0,938632.0,,12571538.0,0,stop trying clearer hot ain't there's open sure win love one rid come drew free turn heart try nothing's guess bending want new breath people listen woah right ha virtue bestest sing baby hesitate i'll way saying done believe music fogged checking better mm long reckon name learn 'cause well dance damn tongue melted back see closer find i've glass big felt giving cannot fate vanities face reason ah mind get ear scootch need fell intervention cool mhm family like nibble chill bet wait spending cracks oh tried sky best time please look divine backwards plans short seasons gonna mirror complicate go aim laughed godforsaken dear we're run loved moment
101,Kill Bill,SOS,SZA,08.12.2022,2022,USRC12204584,US,68,"177,7",1873746537,190202,99546318,82.0,220538045.0,3153793.0,26643.0,152410048.0,1284413960.0,426461749.0,214.0,655242.0,5448.0,73.0,1304067.0,122.0,57350590.0,6127.0,16992932.0,4873832.0,0,lost even text there's farmer's layin' one love none gon' ex girlfriend want new crime therapist murders beat fan cause basement oops drivin' left evidence tell idea happy broad ration next rather damn girlfriend's passion hell see how'd home market choice really invasion men still got kill face killed get ass know jail plannin' hate sense peach tonight mature singin' sober oh tried best perfect us reach can't salty might alone though drugs
102,Dynamite,Dynamite,BTS,21.08.2020,2020,QM7282022872,QM,131,"132,3",1872577908,144619,51186002,74.0,2638957320.0,62311179.0,3098499.0,662794945.0,5063720138.0,2199001119.0,323.0,351169.0,198.0,355.0,1888088.0,98.0,,,,7896781.0,0,call bring stars hear alight ready hoo gentlemen morn' drum bass boom dynamite come set cha overload song talk ping kong glow money eyes move ice soul keep good yeah woah beat sweet i'ma sky's pong dyn walkin' wanna sing day stone dawn shoes shinin' jump king little heavy 'cause dance game dong kick wall home top milk ding city rolling disco join let's ball got diamond hey word ah get na ching know break lebron huh phone tonight night like crowd light roll ayy oh medicine woo friend ladies tea honey whoever gettin' funk go fire ya life watch along rock cup
103,Mood,Mood (feat. Iann Dior),24kGoldn,24.07.2020,2020,USQX92003025,US,130,133,1867736006,302486,82611625,76.0,747126783.0,10795292.0,2467227.0,160756733.0,1768836179.0,2069527154.0,329.0,931316.0,1897.0,273.0,3821598.0,85.0,240562062.0,13154.0,40756476.0,10228436.0,1,act ain't thing avoid love set start feel startin' everything try tryna 'round lot want new keep let girl yeah bedroom fits games baby day way tell elephant brand victim somehow better actin' fuckin' playin' well kick back view bad talkin' another always slick got feign feelin' get cellular save know need mood blowin' wet enough attached cool could regular like arguin' dad company oh sippin' shorty forties gang look unattach play rules room confused go depression end ever part obvious mismatched we're never
104,We Don't Talk Anymore,Nine Track Mind,Charlie Puth,05.11.2015,2015,USAT21502909,US,474,"70,6",1859886400,161156,90365431,78.0,3951663770.0,23086917.0,75102.0,49222866.0,265917250.0,2123773688.0,2.0,82648.0,52.0,110.0,964719.0,32.0,174287836.0,153399.0,,,0,givin' used hope even one love come wrong talk somebody eyes move want tight he's good woah right show knows wanna i'll door way kind outta kinda easily wearin' would next wonder 'cause heard afraid lyin' game every dress known brain still overdosed reason anymore get know onto tonight like ooh shame lookin' oh time think gone must wish can't holdin' might looking found
105,when the party's over,when the party's over,Billie Eilish,17.10.2018,2018,USUM71815958,US,787,"54,7",1845938685,186633,79124996,79.0,931398498.0,13775924.0,1622629.0,210787744.0,1349258289.0,750592461.0,163.0,24691.0,55.0,62.0,398168.0,32.0,139323553.0,150239.0,,5811377.0,0,learned like call i've said nothin' stop coming quiet i'll shirt let's friend stops goodbyes better bleedin' party's can't we've leavin' tore afford go know ever much keep lose sometimes let already say could hurt good lie back yeah home closer
107,Sugar,V (Deluxe),Maroon 5,29.08.2014,2014,USUM71410340,US,399,"76,6",1838092894,186038,69903249,75.0,4151880976.0,16983201.0,234084.0,29492228.0,406531709.0,1795021430.0,197.0,3772.0,240.0,350.0,1067956.0,54.0,761320130.0,358336.0,,10029992.0,1,somethin' without beggin' ain't deep thing one love come livin' yes needin' want red let girl southern good yeah taste right sweet velvet show give wanna games baby day way killin' touch sugar little 'cause afraid makeup sweetness leave put alright nobody babe really man gotta got weak shy sympathy get need hotter shit ooh california lovin' please play away insecure broken knees unless somebody's care that's life hangin' make pick hurtin' pieces
108,Radioactive,Hear Me EP,Imagine Dragons,01.01.2012,2012,USUM71201074,US,654,"59,3",1836362703,236427,68978853,75.0,1838544809.0,12824587.0,340696.0,56611247.0,640674307.0,216497133.0,111.0,166884.0,650.0,118.0,869248.0,47.0,1108092615.0,2068154.0,,16364.0,0,breathing clothes died prison dust blow sweat apocalypse bus oh chemicals breaking shaping waking wipe raise deep rust radioactive suppose age checking ash brow revolution bones feel sun painted right inside straight dye go new red fit system make systems enough we're welcome woah flags
109,Blank Space,1989 (Deluxe),Taylor Swift,01.01.2014,2014,USCJY1431309,US,463,"71,5",1829733410,157465,49558504,76.0,3624778617.0,16916871.0,104685.0,38075232.0,346032878.0,1811140554.0,154.0,41483.0,123.0,107.0,56669.0,28.0,730704780.0,855164.0,749243.0,12259073.0,0,take skies it'll drunk guessing cherry ain't reckless nightmare grab one love come blank lips turn dying money funny ex worst lies want new keep scar girl kisses write yeah magic good lovers garden show filled crying love's wanna baby i'll crystal way pretty tell thorns screaming weekend second list flames next suit king saw mm long magazine name they'll high 'cause heard fly game we'll back madness see mistake bad ends find queen month leave i've rose sin boys pain warn storms let's daydream heaven got hey face get forever young know things incredible guys torture could god tie darling like space ooh ayy players yet wait oh meet time jealousy read perfect friends play look far tables insane nice rumors hand gonna go thought ya dressed say make stolen worth we're breathless nasty passport
110,Payphone,Overexposed Track By Track,Maroon 5,01.01.2012,2012,USUM71203347,US,1153,"44,2",1828026153,249663,71678167,78.0,1051247406.0,7080472.0,93015.0,49072987.0,397860038.0,1568063711.0,58.0,83578.0,135.0,112.0,258125.0,28.0,667632597.0,1019888.0,20102563.0,11327684.0,1,take call late used expect stuntin' even shirt fairytales open one love wrong talk song cars wondering whatever start coulda try money piece 'round since exist sets want sittin' gave people good yeah tomorrow burned full telling ballin' said forgot phantom wished baby i'll paralyzed wasted tell yesterday happy missed swish switched number would next saw fuck lights name fuckin' after's stuck nights little changed 'cause times fine game back see home bridges top spent i've shot doors harder could've really man last still got i'd change borrow sad called blew turned know need picked push shit phone could spendin' paradise like came two nothin' valet made shame oh pulled woo time button remember away gone plans sun sick can't payphone uh hard go tryin' ever care holdin' looking say make picture bottom never
111,Kiss Me More,Kiss Me More (feat. SZA),Doja Cat,09.04.2021,2021,USRC12100543,US,222,"103,4",1823871908,262313,116916147,76.0,307855103.0,2540592.0,2074944.0,1053759171.0,8035914098.0,2053577.0,470.0,551084.0,650.0,129.0,1850223.0,98.0,100039259.0,54999.0,,9556378.0,1,givin' lost somethin' bail cut even middle without ain't sure pace love one dodged come stuff yes lips feel gon' nigga want lose gushy write dippin' good taste la fantasy full whip give **** hug baby way control public goodnight bag fuck gloss name groove refresh dessert wisdom fuckin' sugar 'cause slow boy french tongue lyin' caught back drama half brick sign real gin b man last always lik gotta mine got appeal lipstick hickeys buck cuddle tooth bitches get wishin' ass hold corny young lunch know need jail push huh niggas breakfast enough juice exhale could onto grail holy like hundreds ooh two first nothin' limit oh bite kiss friend darlin' lip rubbish booth can't throw county principle dinner dummy kissin' pussy might say make we're
112,I Don't Care,I Don't Care (with Justin Bieber),Ed Sheeran,10.05.2019,2019,GBAHS1900672,GB,735,"56,5",1816356140,156748,74047669,70.0,1095859229.0,11144552.0,209758.0,24824442.0,246666552.0,2108390436.0,46.0,404463.0,224.0,185.0,402505.0,83.0,,,,,1,take told hear maybe even walked one love party talk lips somebody feel eyes tryna sneak making people yeah right stay said disappear wanna crippled baby sorry tell anyway kinda near better suit long rather nights everyone 'cause wants dance hell back wear s'posed bad finish nobody everyone's really always got anywhere i'd 'em mind hold wonderin' know hate things crazy could tie nobody's like mmm ooh lookin' oh kiss anxiety read shall think drink hand can't around ever much care ya fit say make deal loved
113,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,01.01.1994,1994,USSM19400325,US,2097,"31,5",1810649765,109411,45003974,60.0,824500156.0,7455155.0,18894720.0,1432227925.0,15963128797.0,29891688.0,418.0,131873.0,139.0,143.0,1390899.0,125.0,304497253.0,3556791.0,1273462.0,6531412.0,0,bring sleigh hear click even waiting thing one come shining bells holding awake air reindeer asking fireplace lot mistletoe want keep tight yeah magic right saint stay wanna fills baby day door tree happy list underneath everywhere santa lights snow everyone 'cause christmas claus see standing presents hang sound really brightly send north ah outside know need ringing could tonight singing ask children's ooh laughter true nick oh stocking please pole upon wish gonna ever much care make toy
114,Attention,Attention,Charlie Puth,20.04.2017,2017,USAT21700928,US,768,"55,3",1800254516,162682,40159047,75.0,1875529996.0,14529538.0,391214.0,96491219.0,759021013.0,1775438219.0,,22199.0,160.0,135.0,792329.0,40.0,352441778.0,196853.0,,,0,call maybe expect sure one love party knew heart start doin' going dirt 'round making want new yeah woah la right coming baby runnin' standin' name 'cause already every home hmm regret dress mine got hey i'd face attention ah karma know hate huh tonight ooh oh 'bout gettin' someone throwin' thought ya perfume thinking hm we're never 'ready
115,The Real Slim Shady,The Source Hip Hop Hits Vol. 4,Eminem,01.01.2000,2000,USIR10000448,US,2796,"26,5",1798020679,352947,75283550,81.0,961666231.0,7927293.0,74682.0,86740640.0,771015965.0,568968886.0,93.0,70311.0,82.0,68.0,2765272.0,46.0,508575450.0,1263577.0,1131521.0,6637985.0,1,whoopin' expect win audio groups moose parkin' lot goin' valiums hee he's albums they've show wanna basement quite way annoy pantyhose chicka floor bag fuck women spears wonder sit animals damn cantaloupes boy world thirty bedrooms half locked cannibals real yo furniture seen green dre let's screws attention nursin' grammy 'em durst err antidote imitating sugarcoat mic wait agh walk kidding false best started us rappers that's say alone million working pinchin' clitoris act cut hit smith channel yes fourth feel funny flirting gave parents' girl trip ha tv walkin' loud sing i'll weird raps screaming rate better flippin' antelopes well return aguilera jerking home put tom message another man ch reason mind ass what's grabbin' things lie goes divorced like nothing download shady look think argue hand y'all dead hump eat we're givin' hear onion problem circling open thing couple love cute livin' deliver dr chairs talk destroy person repeat admit let people yeah cuss give said christina control wave jergens idiots windows ninety mp3 blast kim pam difference system whole rings proud mammals dress gotta jaws woman's get know guys viagra married could sell first eminem grade oh jacking kiss lucky room tommy can't gonna around go dre's discovery slim might though head they're probably even fingers ain't there's one spit lips guess lurkin' nurse's whether listen door chorus nope spittin' fred mtv carson critics burger next king asses balls inside little 'cause percent intercourse daly every kids sent bitch feminist stomach worse got stand bum single front shit may sometimes cool elope white puh shadys nothin' joke britney time please friends switch records loose course sick burst throwin' never vd
117,Pumped Up Kicks,Pumped up Kicks,Foster The People,01.01.2010,2010,USSM11002931,US,1113,"45,1",1791778314,34449,131726745,81.0,599930123.0,5713061.0,786192.0,342804034.0,2757623631.0,19949320.0,195.0,121067.0,167.0,148.0,1029351.0,46.0,777542552.0,1767555.0,,16415660.0,0,late robert's dinner's hair's lost even he'll rolled sleight closet waited bullet daddy bringing ice he's pumped yeah trigger coming day tell dad's better long quick 'cause kitchen kids cowboy home i've hanging pull got reason kicks surprise run gun know shooter things box works wait plan fun wits cigarette time faster look ru room hand packed around kid mouth fire outrun say found must've six
118,Youngblood,Youngblood,5 Seconds of Summer,12.04.2018,2018,GBUM71800366,GB,811,"53,9",1790579305,180069,75602805,76.0,792369989.0,7627895.0,226361.0,15100678.0,81167209.0,225749952.0,148.0,29854.0,164.0,33.0,444155.0,64.0,394705510.0,159091.0,,10854729.0,0,take call used hope told drunk strangers gets lately one love surrender callin' everything crawlin' till want yeah beat give walkin' baby day believe outta conversations runnin' calls place goodbye mm name 'cause damn times game back see words nobody pullin' man last mine hundred face know need push could god tonight like takes ooh die made youngblood lookin' time remember away us around dead end ya life say
119,I Like Me Better,I Like Me Better,Lauv,19.05.2017,2017,GBWWP1702907,GB,1152,"44,2",1784308411,157818,34910721,75.0,837720618.0,7077307.0,573681.0,117065490.0,886160801.0,145737544.0,92.0,225675.0,241.0,34.0,251654.0,24.0,334762962.0,97867.0,,7684583.0,0,awhile somethin' drunk pass love yes knew swear wakin' talking bed new let good yeah stay day coffee tell next better long ceiling 'cause midnight damn york city babe still morning got i'd feelin' get eh young know like ooh first made oh time hours look lay us room burnin' much might oooh
120,Call Out My Name,"My Dear Melancholy,",The Weeknd,29.03.2018,2018,USUG11800560,US,603,"61,6",1780889877,229909,75001452,79.0,1366385062.0,10766000.0,284554.0,89244170.0,742902070.0,288311308.0,121.0,3403.0,4.0,62.0,333884.0,29.0,173195736.0,97371.0,16332502.0,8331752.0,0,call 'til comfort stop cut even sure love feel fall piece guess want gave rough pit girl almost stay falling said helped baby i'll way wasted loving place name times mistake top put proud babe another close mind claimed held gently ooh wait ohh nothing made kiss time broken can't life say lied though found openly
121,The Nights,Full Circle: The Live Anthology,Avicii,20.11.2011,2011,CH3131340464,CH,168,"35,6",1780761618,306987,80839124,79.0,1147006109.0,12229051.0,3069701.0,317503477.0,3389115337.0,248385509.0,89.0,2214.0,,111.0,435291.0,28.0,66876028.0,81455.0,,12603697.0,0,memories stars told shores one shining knew heart start matter let woah took learned disappeared said year slip day went i'll forsake would guide son name inside nights heard animals afraid world live days home older leave father put fears child hey arms face get wild shadows ooh came light beyond fade die made oh remember upon play away think far younger thunderclouds can't venture kid carve go ever fire life behind say tears pouring never lessons
122,Cheap Thrills,Cheap Thrills,Sia,17.12.2015,2015,USRC11502935,US,580,"63,2",1779046979,16184,45579916,70.0,2306432379.0,13236478.0,836539.0,56823958.0,925857941.0,1534392666.0,196.0,10434.0,236.0,87.0,283297.0,90.0,607967991.0,285233.0,,28940990.0,0,night put 'til thrills saturday fun cheap baby oh radio dollar ain't hair gotta hit got friday love come heels turn floor feel long money dancing high need keep dance cash bills make paint tonight la nails beat
123,Heathens,Heathens,Twenty One Pilots,16.06.2016,2016,USAT21601930,US,296,"88,6",1777196966,241108,65091468,78.0,2624180055.0,21763865.0,4715288.0,113594559.0,1024805500.0,479301512.0,125.0,153475.0,322.0,108.0,534238.0,31.0,513952113.0,630803.0,,14696531.0,0,trust take guns ready mean they're one come looks knew mention guess certain people issues listen outsiders stay show smell said day door weird intentions brains rooms bust freak next forget blasphemy well abuse murderer slow boy stayed welcome how'd half i've locked warn city newcomers change sudden get outside know heathens psychopath sitting check ask like wait tried why'd please friends away think us room hand grenades moves might watch make say deal never loved
124,Bad Habits,#NAME?,Ed Sheeran,01.01.2020,2020,GBAHS2100318,GB,159,"120,8",1754311538,271758,62218811,74.0,958790883.0,7686994.0,1036355.0,225139300.0,2658904267.0,3526952174.0,454.0,1347725.0,1035.0,352.0,7318680.0,136.0,269834154.0,88143.0,17144484.0,15886717.0,0,take tru late implodes probably one come spark barely start feel everything eyes 'round till four lose let habits starin' good yeah burned took time's pure endin' left way conversations control three long lights nights times world every bad something ends neon escape last got stranger swearin' fallin' know happens things tonight lead goes lad wide paradise space ooh two first nothin' true this'll fun dark lookin' ran time started far use reach sun can't around go say alone wonderful intention
125,Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,01.01.2011,2011,AUZS21100040,AU,471,71,1752826514,352833,87651528,74.0,2729174469.0,22532779.0,312945.0,551329120.0,4679645090.0,490308209.0,202.0,301048.0,474.0,115.0,967797.0,71.0,878651542.0,1581901.0,15266983.0,37339828.0,0,low used resignation told cut even love stoop somebody believing guess certain ache feels admit let rough right said wanna i'll way kind done happy number would happened well times screwed sadness every live something hung felt always still stranger i'd addicted change reading word ah get know need sense could like ooh company die nothing lonely friends remember records think catch treat go collect end together glad say make though found never
126,Be Alright,Be Alright,Dean Lewis,29.06.2018,2018,AUUM71800255,AU,1042,47,1749353402,182732,81424354,72.0,244698483.0,2156754.0,191718.0,48497239.0,379547638.0,2742.0,148.0,1534.0,53.0,47.0,238867.0,26.0,187475548.0,145064.0,38670021.0,12744176.0,1,head voice trying heals colour moving it'll messages begins there's love hide start feel tremble kissed everything eyes matter let yeah right touched stay said wanna tell yesterday dumb mate's feeling forget bit easy deleted wonder counter fine hurt tells back mistake see sent something find put alright friend's fact pull another let's still past face mind sad what's know break cigarettes cold okay seem phone fucking could tonight like draining steal nothing made walk friend time teary look away ground gone born shake reach hand can't mate gonna go betrayal bottoms say never
127,I Feel It Coming,I Feel It Coming,The Weeknd,17.11.2016,2016,USUG11601012,US,817,"53,6",1749088490,193568,52373071,72.0,1489647996.0,7616181.0,,243.0,36437.0,287132059.0,298.0,130551.0,212.0,123.0,980454.0,46.0,230834970.0,108406.0,7851939.0,17963628.0,0,take type step love set free feel try eyes tryna lies want let yeah right give baby simple tell scared comin' high touch 'cause see fight babe rush really gotta ah get na single legs know need faded could night like oh body time lonely perfect heat shake uh tryin' ever say make alone never run
128,Can't Feel My Face,Your Songs 2015,The Weeknd,02.03.2015,2015,USUG11500741,US,851,"52,6",1747534539,212829,101243254,76.0,1689190795.0,8927108.0,552005.0,26588465.0,264572676.0,238111307.0,433.0,15819.0,474.0,149.0,1452991.0,97.0,552312888.0,221611.0,4197860.0,14056461.0,0,worry stay ooh said told yet fa least baby oh best always without she'll deep love think hey come face feel can't get beautiful forever uh worst numb young misery go know alo death girl necessary we'll we're never yeah
130,This Is What You Came For,This Is What You Came For,Calvin Harris,29.04.2016,2016,GBARL1600460,GB,373,"79,8",1746790923,204049,117171040,79.0,3084719501.0,13411706.0,2176881.0,17649503.0,137718139.0,276177209.0,356.0,119588.0,81.0,173.0,1609545.0,86.0,595393905.0,143591.0,1056564.0,13444054.0,0,leave ooh came knows nothin' everybody's lookin' baby way time gotta play place strikes watchin' moves go need fast say game lightning every yeah
131,Eastside,Eastside (with Halsey & Khalid),benny blanco,12.07.2018,2018,USUM71809132,US,571,"63,7",1736530084,174867,50426363,73.0,885823017.0,4489619.0,133341.0,12574029.0,116720227.0,698890380.0,173.0,315236.0,198.0,51.0,518961.0,51.0,438743234.0,136245.0,32640916.0,8681998.0,0,take late used dream hands suddenly ain't one love come set daddy heart start everything sneak backstreets want new enemies yeah give falling said seventeen wanna pressure baby day way window taking believe three underneath place jump old sea touch 'cause today ideas willing coast every back leave put corvette city bus man got grew anywhere hold young turned know break jobs fell enough different tonight singing pay family like came light oh meet drive twenty kiss seriously we'd starting blue friends house away started eastside ride sun hand line uh gonna go dead end much anything together life thinking bills found run minds
132,CAN'T STOP THE FEELING,"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,06.05.2016,2016,USRC11600876,US,305,"87,1",1733302434,191065,88781556,72.0,2322229374.0,9042088.0,2563738.0,26503434.0,153590873.0,319751277.0,459.0,364043.0,576.0,482.0,2062925.0,116.0,605593706.0,1206969.0,,15828266.0,0,take stop wavey hot somethin' ain't sunshine come hide turn feel everything air eyes move soon soul keep good yeah nowhere rushin' phenomenally drops wanna sing way blood control feeling lights leavin' inside high 'cause well dance fly already see home feet nobody city close got movin' bones reason feelin' ceilin' know need break things flyin' pocket imagine goes everybody ooh nothin' magical creepin' oh body zone woo room can't gettin' uh electric lock dancin' we're rock
133,Chandelier,Todo Exitos 2014 (Los NÃÂÃÂ©ÃÂÃÂ½ÃÂÃÂ©ÃÂÃÂ½mero 1 Del A,Sia,01.01.2014,2014,USRC11400498,US,569,"63,8",1729264620,171065,77207881,75.0,3137616905.0,17150946.0,369612.0,124140769.0,1176707701.0,1774014030.0,216.0,244316.0,257.0,151.0,1369282.0,70.0,409374508.0,528134.0,,19192527.0,0,call 'til doorbell mornin' open one love party feel eyes exist keep lose good tomorrow full dry three bird learn mess 'cause swing fly hurt comes back live glass phone's gotta 'em ah get push blowin' tonight night like two light shame oh help time look chandelier drink count sun ringin' can't throw gonna anythin' life holdin' girls tears dear run
134,Ride,Ride,Twenty One Pilots,12.05.2015,2015,USAT21500598,US,111,"45,2",1724766252,240346,62583866,79.0,1832805733.0,14628417.0,473867.0,64556528.0,515516585.0,186902563.0,7.0,156588.0,225.0,63.0,409611.0,33.0,,,,,0,take they're even bullet bullets talking enemies people write yeah woah stay wanna fantasize peace way literally list would easy comin' back see live home find i've real harder man still i'd kill questions sun's ignore fallin' mind know sometimes seem tonight thinkin' like everybody many true fun die tried oh help time think ride wish room sun hard end ever much that's say takin' metaphorically pieces
135,Easy On Me,Easy On Me,Adele,14.10.2021,2021,USSM12105970,US,88,"163,2",1720918065,209635,93875458,73.0,1194846205.0,13561925.0,1912194.0,733101955.0,7860224413.0,6353555150.0,325.0,774277.0,1316.0,257.0,5323750.0,100.0,203324731.0,126594.0,,7569155.0,0,bring hope hands probably even ain't silence drowning feel deny hopes let good right swim show give baby intentions easy stuck changed m world put i've river still child change chance choose get forever th know things washin' waters first chose tried gold time ways deeply room can't hard around go highest
136,Numb,Meteora,Linkin Park,24.03.2003,2003,USWB10300474,US,2472,"28,7",1720830668,27081,75602131,80.0,2450982330.0,15462896.0,440206.0,37487815.0,490782499.0,907757737.0,5.0,137302.0,559.0,70.0,907873.0,52.0,,,15120261.0,,0,take lost apart expecting step becoming feel everything holding want lose undertow right failing tired pressure smothering tightly less shoes aware control second would feeling surface fallen numb 'cause afraid caught every mistake see put i've become walking another know front may like waste disappointed can't someone end much thought faithless
137,Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,25.05.2018,2018,USAT21802284,US,769,"55,3",1709991997,187053,79925766,80.0,1447964376.0,19917766.0,2026064.0,188810282.0,2833687729.0,1915732260.0,1.0,1563.0,132.0,41.0,460093.0,10.0,,,,,0,hope stop cut embrace tile open feel awake grace keep drag let steps dignity show falling talked wanna baby i'll door way slowly little kitchen find leave feet walking man skin sympathy know sink cold could night cracks fade bathroom slipping please waste lonely kingdom away leaving can't throw go corridor looking
138,Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,20.11.2011,2011,USRC11401949,US,153,"37,6",1690450389,225204,121786733,81.0,679433670.0,4181978.0,564763.0,31046688.0,201004524.0,213087375.0,270.0,332763.0,806.0,113.0,505069.0,66.0,537982216.0,824867.0,,11303352.0,0,dream realize dare deep bass backless future knew holding eyes teenage kryptonite keep girl beat helpless took said destiny floor happened dance victims fading back see felt arm dress last woman looked chance shut get know night ooh light oh chemical look sneaks think discothÃÂ¨que chest c'mon physical bound juliet together
139,Why'd You Only Call Me When You're High,Why''d You Only Call Me When You''re High?,Arctic Monkeys,01.01.2013,2013,GBCEL1300370,GB,3008,"25,4",1687828519,27201,71727595,80.0,527397003.0,5344645.0,849.0,8308615.0,45596295.0,16319566.0,69.0,14702.0,349.0,43.0,280766.0,26.0,121399211.0,37985.0,,3369366.0,0,carryin' call dreamin' mornin' multiple somewhere gears tryna' makin' startin' early feels decided finished partner listen said decisions baby left mirror's shoes reply image bore runnin' three missed calls sort saw leavin' high wonder hi 'cause well ideas tells see home bad find alright talkin' harder message got change shite mind get darker bumpin' need hopin' phone tonight night like time arrived why'd can't gonna ever incapable thought might side found
140,Mockingbird,Encore (Deluxe),Eminem,12.11.2004,2004,USIR10400813,US,3983,"21,4",1680919413,293385,44640604,82.0,244059770.0,2900004.0,1273.0,8273097.0,76886329.0,228292.0,79.0,13192.0,5.0,31.0,722512.0,15.0,520681974.0,406631.0,,9764188.0,1,dream wake moved deep wit' developed sold hailie fall eyes lot keep chalmers mommy's buy bedroom flat confusin' novara wanna stone way straighten tell wow nightmares birdie's happened fuck world back see rest shot job dre mother 'em robbed young wanted bein' neck ask arguin' dad everything's started swirls news us empty gettin' ever ya that's life side girls grab understand heart feel money gon' funny dollars girl spins thousand tv piggy year sing day i'll sorry lived firsthand either better carat sisters christmas 8 fast heh presents talkin' table felt shh savin' still reason sad prayers break things crazy mama like two bank puzzled loves remember seemed mockingbird backfires cd much anything eat we're moment witness somethin' apart sleep dr daddy sheltered laugh stiffen everything try worries jar want meant yeah almost twirls right i'ma wrapped give crying said went uncle's tree pretty miss control growin' hush smile forget college whole leave proud harder cryin' daze diamond hey habit know happens jeweler could night california this'll broke wipe house soldier met gonna someone go together trips make tears mile head 'til used upper told flew maybe haha even ain't stole one food grown sat start startin' beautiful bumsee move guess kept mommy sittin' seein' ring lainie baby destiny block mama's mom somehow scared shine inside promise stuck little 'cause whirls hurt we'll every bad work alright cry rolling sound pull always apartment got reminiscin' hold papa may sometimes daddy's seem sense lady plan seems lookin' pictures time teenagers broken gone course lip tryin' never
